Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,Yes,2,Graduate,Yes,14120,641,394.0,120,1.0,Urban,Y
LP001003,Female,Yes,0,Graduate,Yes,12342,4839,234.0,240,0.0,Rural,Y
LP001004,Male,No,0,Graduate,Yes,13953,6169,174.0,360,0.0,Semiurban,Y
LP001005,Male,Yes,2,Not Graduate,No,11900,7655,106.0,360,0.0,Urban,N
LP001006,Male,Yes,1,Not Graduate,No,9697,61,387.0,240,0.0,Semiurban,Y
LP001007,Male,No,3+,Graduate,Yes,9320,1223,228.0,120,0.0,Urban,Y
LP001008,Male,Yes,1,Graduate,Yes,9640,492,197.0,360,0.0,Urban,Y
LP001009,Female,Yes,3+,Not Graduate,Yes,2031,6822,93.0,360,0.0,Semiurban,N
LP001010,Male,Yes,1,Graduate,Yes,11784,6611,277.0,360,1.0,Urban,Y
LP001011,Male,Yes,3+,Graduate,Yes,14244,1139,292.0,360,1.0,Semiurban,N
LP001012,Male,No,3+,Graduate,Yes,9516,5490,370.0,360,0.0,Urban,Y
LP001013,Female,No,0,Not Graduate,Yes,1726,6794,355.0,360,1.0,Urban,N
LP001014,Female,No,3+,Not Graduate,Yes,7642,1255,43.0,360,0.0,Urban,Y
LP001015,Male,Yes,3+,Not Graduate,Yes,8982,2495,332.0,360,0.0,Urban,Y
LP001016,Male,Yes,0,Graduate,No,3599,3285,90.0,360,0.0,Rural,Y
LP001017,Male,No,2,Not Graduate,Yes,8813,2255,102.0,180,0.0,Urban,Y
LP001018,Male,Yes,0,Graduate,Yes,8790,9193,372.0,360,0.0,Rural,Y
LP001019,Male,Yes,3+,Not Graduate,Yes,6066,1125,311.0,360,0.0,Rural,Y
LP001020,Male,Yes,0,Graduate,Yes,10588,3881,320.0,360,0.0,Semiurban,N
LP001021,Male,Yes,0,Graduate,Yes,11012,4105,29.0,120,0.0,Semiurban,N
LP001022,Male,Yes,1,Graduate,Yes,4161,1146,338.0,360,0.0,Rural,Y
LP001023,Male,No,1,Graduate,Yes,12251,786,62.0,360,1.0,Urban,Y
LP001024,Male,No,3+,Not Graduate,No,3164,258,70.0,360,0.0,Urban,Y
LP001025,Male,Yes,3+,Not Graduate,Yes,3025,3849,226.0,240,0.0,Urban,Y
LP001026,Male,Yes,1,Graduate,Yes,5250,6430,126.0,360,0.0,Semiurban,N
LP001027,Male,Yes,0,Not Graduate,Yes,8257,6174,278.0,120,1.0,Urban,Y
LP001028,Male,No,2,Graduate,No,5154,4616,213.0,360,0.0,Rural,Y
LP001029,Male,Yes,1,Not Graduate,Yes,4067,8180,254.0,360,0.0,Semiurban,Y
LP001030,Male,No,1,Not Graduate,Yes,14461,715,182.0,360,0.0,Rural,Y
LP001031,Male,Yes,0,Not Graduate,No,2596,1643,88.0,360,0.0,Urban,Y
LP001032,Male,Yes,1,Graduate,No,4598,123,354.0,360,1.0,Semiurban,Y
LP001033,Male,Yes,0,Graduate,Yes,4740,1773,311.0,360,0.0,Semiurban,Y
LP001034,Male,No,2,Not Graduate,Yes,12514,9113,324.0,360,1.0,Urban,Y
LP001035,,Yes,1,Graduate,Yes,9467,2177,276.0,360,0.0,Rural,N
LP001036,Female,Yes,3+,Not Graduate,Yes,8228,6889,348.0,360,0.0,Semiurban,Y
LP001037,Female,Yes,1,Not Graduate,Yes,6828,1503,204.0,360,,Urban,N
LP001038,Male,No,0,Graduate,Yes,9278,5661,274.0,360,0.0,Rural,Y
LP001039,Male,No,3+,Not Graduate,Yes,12619,7094,135.0,120,0.0,Semiurban,Y
LP001040,Male,Yes,1,Not Graduate,Yes,9579,2124,33.0,360,0.0,Urban,Y
LP001041,Male,No,0,Graduate,No,14685,3254,397.0,360,1.0,Urban,Y
LP001042,Male,Yes,2,Graduate,Yes,5114,2413,234.0,360,0.0,Semiurban,Y
LP001043,Male,Yes,0,Not Graduate,Yes,2347,4387,112.0,360,,Semiurban,Y
LP001044,Male,Yes,3+,Graduate,No,5116,6089,253.0,360,1.0,Semiurban,Y
LP001045,Female,Yes,1,Graduate,Yes,4204,5833,199.0,240,0.0,Semiurban,Y
LP001046,Male,No,2,Not Graduate,Yes,8254,156,73.0,360,0.0,Urban,Y
LP001047,Male,No,0,Graduate,Yes,5393,9315,324.0,360,1.0,Urban,Y
LP001048,Male,Yes,0,Not Graduate,Yes,13073,5003,49.0,360,0.0,Semiurban,Y
LP001049,Male,Yes,3+,Graduate,Yes,12763,5753,31.0,360,0.0,Semiurban,N
LP001050,Male,No,3+,Graduate,Yes,4494,917,130.0,120,0.0,Urban,N
LP001051,Male,No,0,Not Graduate,Yes,14434,6253,391.0,360,0.0,Urban,N
LP001052,Female,Yes,0,Graduate,Yes,6033,1702,131.0,360,0.0,Rural,Y
LP001053,Male,No,0,Not Graduate,Yes,3000,1665,188.0,120,0.0,Rural,Y
LP001054,Female,Yes,2,Not Graduate,Yes,3942,5389,123.0,120,0.0,Semiurban,N
LP001055,Female,Yes,2,Not Graduate,Yes,3225,7163,30.0,360,0.0,Urban,Y
LP001056,Male,No,2,Graduate,Yes,11257,5807,366.0,360,0.0,Semiurban,Y
LP001057,Female,Yes,1,Graduate,No,8841,2111,348.0,360,1.0,Urban,Y
LP001058,Male,Yes,3+,Not Graduate,Yes,11435,3714,291.0,180,0.0,Semiurban,Y
LP001059,Male,Yes,1,Graduate,Yes,1825,6983,33.0,360,1.0,Semiurban,N
LP001060,Male,No,0,Graduate,Yes,5917,5110,194.0,240,0.0,Semiurban,Y
LP001061,Male,No,1,Graduate,Yes,11922,2397,177.0,360,1.0,Urban,Y
LP001062,Male,Yes,3+,Graduate,Yes,4166,5454,129.0,360,0.0,Semiurban,N
LP001063,Male,Yes,2,Not Graduate,Yes,10901,1555,171.0,360,,Rural,Y
LP001064,Female,Yes,1,Not Graduate,Yes,5861,4502,253.0,360,0.0,Semiurban,Y
